ID,Data,Departamento,Categoria,Tipo_Transacao,Valor,Fornecedor,Status,Descricao,Mes,Ano,Trimestre,Responsavel,Centro_Custo,Prioridade,Valor_Acumulado,Media_Mensal_Dept,Dia_Semana,Semana_Ano,Dias_Desde_Hoje,Faixa_Valor,Percentil_Valor,Dept_count,Dept_sum,Dept_mean,Dept_std,Dept_min,Dept_max,Ranking_Valor
TXN0013,2024-01-16,Planejamento,Segurança,Despesa,5146.04,Iota Materiais,Aprovado,Transação 13 - Capacitação,1,2024,Q1,Funcionário 41,CC9317,Baixa,5618.7,14089.28,Tuesday,3,571,Alto,0.235,102,1404744.54,13772.01,11714.36,472.66,45425.11,766.0
TXN0014,2024-02-27,Tecnologia da Informação,Segurança,Transferência,5671.32,Empresa Alpha Ltda,Rejeitado,Transação 14 - Limpeza,2,2024,Q1,Funcionário 2,CC2832,Média,18601.75,8260.68090909091,Tuesday,9,529,Alto,0.263,119,1688055.08,14185.34,13089.13,104.28,47957.4,738.0
TXN0015,2024-06-17,Educação,Equipamentos,Despesa,963.08,Theta Sistemas,Aprovado,Transação 15 - Segurança,6,2024,Q2,Funcionário 50,CC3060,Alta,9446.289999999999,16740.40444444444,Monday,25,418,Baixo,0.036,115,1603181.3,13940.71,12800.29,373.99,47535.6,965.0
TXN0016,2025-06-13,Tecnologia da Informação,Capacitação,Transferência,47608.19,Kappa Serviços,Em Análise,Transação 16 - Manutenção,6,2025,Q2,Funcionário 35,CC4295,Baixa,66209.94,22045.91428571428,Friday,24,57,Muito Alto,0.986,119,1688055.08,14185.34,13089.13,104.28,47957.4,15.0
TXN0017,2024-06-22,Jurídico,Limpeza,Transferência,49781.72,Theta Sistemas,Aprovado,Transação 17 - Manutenção,6,2024,Q2,Funcionário 15,CC2049,Média,63941.19,14805.58571428571,Saturday,25,413,Muito Alto,0.999,87,1277333.07,14681.99,13824.88,897.98,49781.72,2.0
TXN0018,2023-08-29,Educação,Manutenção,Despesa,8353.43,Beta Serviços SA,Aprovado,Transação 18 - Manutenção,8,2023,Q3,Funcionário 5,CC1514,Média,17799.72,17965.6,Tuesday,35,711,Alto,0.398,115,1603181.3,13940.71,12800.29,373.99,47535.6,603.0
TXN0019,2023-10-19,Infraestrutura,Manutenção,Transferência,3646.27,Gamma Tecnologia,Em Análise,Transação 19 - Manutenção,10,2023,Q4,Funcionário 31,CC7669,Alta,8434.97,15411.634,Thursday,42,660,Médio,0.16,96,1303588.45,13579.05,12247.72,114.92,47613.09,841.0
TXN0020,2023-11-12,Jurídico,Alimentação,Receita,9918.84,Theta Sistemas,Aprovado,Transação 20 - Equipamentos,11,2023,Q4,Funcionário 4,CC7596,Baixa,73860.03,7872.933333333333,Sunday,45,636,Alto,0.465,87,1277333.07,14681.99,13824.88,897.98,49781.72,536.0
TXN0021,2024-07-20,Compras e Licitações,Segurança,Receita,3804.98,Gamma Tecnologia,Em Análise,Transação 21 - Serviços,7,2024,Q3,Funcionário 18,CC8579,Alta,3804.98,14065.61571428571,Saturday,29,385,Médio,0.166,76,955762.48,12575.82,12567.06,172.0,46186.52,835.0
TXN0022,2023-10-24,Saúde,Equipamentos,Despesa,41361.0,Iota Materiais,Aprovado,Transação 22 - Equipamentos,10,2023,Q4,Funcionário 49,CC4872,Alta,44718.71,22982.384,Tuesday,43,655,Muito Alto,0.933,89,1288783.81,14480.72,12901.72,163.99,49438.54,68.0
TXN0023,2024-09-27,Comunicação,Material de Escritório,Despesa,26661.13,Eta Manutenção,Aprovado,Transação 23 - Alimentação,9,2024,Q3,Funcionário 17,CC8454,Média,39671.74000000001,16702.50416666667,Friday,39,316,Muito Alto,0.814,123,1947218.55,15831.05,12704.44,201.77,47767.92,187.0
TXN0024,2024-10-14,Saúde,Limpeza,Despesa,14364.03,Delta Suprimentos,Rejeitado,Transação 24 - Manutenção,10,2024,Q4,Funcionário 4,CC9883,Alta,59082.74,22982.384,Monday,42,299,Alto,0.707,89,1288783.81,14480.72,12901.72,163.99,49438.54,294.0
TXN0025,2024-06-24,Infraestrutura,Segurança,Transferência,847.12,Gamma Tecnologia,Aprovado,Transação 25 - Segurança,6,2024,Q2,Funcionário 6,CC4044,Alta,9282.09,14255.63833333333,Monday,26,411,Baixo,0.03,96,1303588.45,13579.05,12247.72,114.92,47613.09,971.0
TXN0026,2025-04-08,Compras e Licitações,Alimentação,Despesa,10160.67,Kappa Serviços,Pendente,Transação 26 - Consultoria,4,2025,Q2,Funcionário 39,CC1651,Baixa,13965.65,6998.611666666667,Tuesday,15,123,Alto,0.484,76,955762.48,12575.82,12567.06,172.0,46186.52,517.0
TXN0027,2023-10-30,Educação,Segurança,Receita,34581.79,Epsilon Consultoria,Pendente,Transação 27 - Combustível,10,2023,Q4,Funcionário 16,CC5351,Média,52381.51,11773.2125,Monday,44,649,Muito Alto,0.875,115,1603181.3,13940.71,12800.29,373.99,47535.6,126.0
TXN0028,2023-12-20,Infraestrutura,Combustível,Despesa,9717.96,Empresa Alpha Ltda,Em Análise,Transação 28 - Consultoria,12,2023,Q4,Funcionário 37,CC2638,Alta,19000.05,16029.65,Wednesday,51,598,Alto,0.454,96,1303588.45,13579.05,12247.72,114.92,47613.09,547.0
TXN0029,2025-02-08,Tecnologia da Informação,Combustível,Despesa,7637.68,Delta Suprimentos,Rejeitado,Transação 29 - Capacitação,2,2025,Q1,Funcionário 11,CC8179,Baixa,73847.62,8260.68090909091,Saturday,6,182,Alto,0.358,119,1688055.08,14185.34,13089.13,104.28,47957.4,643.0
TXN0030,2025-07-28,Saúde,Material de Escritório,Transferência,32525.5,Iota Materiais,Rejeitado,Transação 30 - Equipamentos,7,2025,Q3,Funcionário 9,CC5333,Alta,91608.23999999999,19037.177,Monday,31,12,Muito Alto,0.857,89,1288783.81,14480.72,12901.72,163.99,49438.54,144.0
TXN0031,2023-11-25,Planejamento,Capacitação,Transferência,8343.03,Delta Suprimentos,Rejeitado,Transação 31 - Manutenção,11,2023,Q4,Funcionário 44,CC5325,Baixa,13961.73,16228.28625,Saturday,47,623,Alto,0.397,102,1404744.54,13772.01,11714.36,472.66,45425.11,604.0
TXN0032,2024-12-20,Recursos Humanos,Equipamentos,Transferência,45740.14,Eta Manutenção,Rejeitado,Transação 32 - Material de Escritório,12,2024,Q4,Funcionário 1,CC6464,Alta,100090.13,24668.583,Friday,51,232,Muito Alto,0.969,89,1279819.63,14380.0,11595.07,161.24,45740.14,32.0
TXN0033,2025-05-21,Infraestrutura,Segurança,Transferência,12271.19,Eta Manutenção,Aprovado,Transação 33 - Equipamentos,5,2025,Q2,Funcionário 5,CC3442,Baixa,31271.24,11567.41555555556,Wednesday,21,80,Alto,0.605,96,1303588.45,13579.05,12247.72,114.92,47613.09,396.0
TXN0034,2023-09-13,Tecnologia da Informação,Alimentação,Despesa,31212.93,Empresa Alpha Ltda,Rejeitado,Transação 34 - Combustível,9,2023,Q3,Funcionário 3,CC6862,Alta,105060.55,20241.807,Wednesday,37,696,Muito Alto,0.848,119,1688055.08,14185.34,13089.13,104.28,47957.4,153.0
TXN0035,2025-07-06,Jurídico,Segurança,Receita,10037.31,Kappa Serviços,Pendente,Transação 35 - Manutenção,7,2025,Q3,Funcionário 11,CC3900,Média,83897.34,15200.004,Sunday,27,34,Alto,0.473,87,1277333.07,14681.99,13824.88,897.98,49781.72,528.0
TXN0036,2023-09-02,Jurídico,Alimentação,Transferência,11074.81,Delta Suprimentos,Rejeitado,Transação 36 - Serviços,9,2023,Q3,Funcionário 45,CC2771,Média,94972.15,16330.18,Saturday,35,707,Alto,0.54,87,1277333.07,14681.99,13824.88,897.98,49781.72,461.0
TXN0037,2023-09-16,Infraestrutura,Combustível,Receita,15009.52,Delta Suprimentos,Pendente,Transação 37 - Material de Escritório,9,2023,Q3,Funcionário 43,CC4164,Média,46280.76,17144.31166666666,Saturday,37,693,Muito Alto,0.736,96,1303588.45,13579.05,12247.72,114.92,47613.09,265.0
TXN0038,2024-07-09,Planejamento,Combustível,Transferência,43895.88,Iota Materiais,Em Análise,Transação 38 - Segurança,7,2024,Q3,Funcionário 22,CC1452,Alta,57857.61,21804.95222222222,Tuesday,28,396,Muito Alto,0.955,102,1404744.54,13772.01,11714.36,472.66,45425.11,46.0
TXN0039,2024-05-01,Planejamento,Material de Escritório,Despesa,8750.79,Kappa Serviços,Em Análise,Transação 39 - Combustível,5,2024,Q2,Funcionário 47,CC6139,Média,66608.4,7422.436666666667,Wednesday,18,465,Alto,0.417,102,1404744.54,13772.01,11714.36,472.66,45425.11,584.0
TXN0040,2025-04-19,Educação,Manutenção,Receita,1823.12,Empresa Alpha Ltda,Em Análise,Transação 40 - Material de Escritório,4,2025,Q2,Funcionário 34,CC9821,Baixa,54204.63,8839.4,Saturday,16,112,Médio,0.076,115,1603181.3,13940.71,12800.29,373.99,47535.6,925.0
TXN0041,2025-06-24,Financeiro,Combustível,Transferência,5526.9,Zeta Equipamentos,Aprovado,Transação 41 - Capacitação,6,2025,Q2,Funcionário 33,CC6067,Baixa,19583.05,14000.02,Tuesday,26,46,Alto,0.256,104,1679350.5,16147.6,14099.56,178.83,49816.73,745.0
TXN0042,2024-09-29,Planejamento,Segurança,Despesa,23108.02,Delta Suprimentos,Em Análise,Transação 42 - Alimentação,9,2024,Q3,Funcionário 44,CC3851,Baixa,89716.42,11705.88181818182,Sunday,39,314,Muito Alto,0.79,102,1404744.54,13772.01,11714.36,472.66,45425.11,211.0
TXN0043,2025-03-12,Recursos Humanos,Capacitação,Receita,23273.38,Delta Suprimentos,Em Análise,Transação 43 - Consultoria,3,2025,Q1,Funcionário 39,CC6279,Média,123363.51,12326.69571428571,Wednesday,11,150,Muito Alto,0.792,89,1279819.63,14380.0,11595.07,161.24,45740.14,209.0
TXN0044,2024-11-02,Saúde,Limpeza,Transferência,35403.23,Gamma Tecnologia,Aprovado,Transação 44 - Capacitação,11,2024,Q4,Funcionário 33,CC6491,Alta,127011.47,18704.77571428572,Saturday,44,280,Muito Alto,0.884,89,1288783.81,14480.72,12901.72,163.99,49438.54,117.0
TXN0045,2024-04-04,Compras e Licitações,Serviços,Despesa,4725.25,Empresa Alpha Ltda,Pendente,Transação 45 - Limpeza,4,2024,Q2,Funcionário 40,CC2193,Média,18690.9,6998.611666666667,Thursday,14,492,Médio,0.215,76,955762.48,12575.82,12567.06,172.0,46186.52,786.0
TXN0046,2024-10-05,Comunicação,Limpeza,Receita,8677.5,Delta Suprimentos,Pendente,Transação 46 - Material de Escritório,10,2024,Q4,Funcionário 49,CC2746,Média,48349.24000000001,10687.19375,Saturday,40,308,Alto,0.412,123,1947218.55,15831.05,12704.44,201.77,47767.92,589.0
TXN0047,2024-03-19,Saúde,Limpeza,Despesa,12081.24,Iota Materiais,Pendente,Transação 47 - Equipamentos,3,2024,Q1,Funcionário 30,CC3184,Média,139092.71,11218.43571428572,Tuesday,12,508,Alto,0.596,89,1288783.81,14480.72,12901.72,163.99,49438.54,405.0
TXN0048,2025-06-21,Educação,Combustível,Receita,14819.6,Kappa Serviços,Em Análise,Transação 48 - Segurança,6,2025,Q2,Funcionário 29,CC3607,Baixa,69024.23000000001,16740.40444444444,Saturday,25,49,Alto,0.729,115,1603181.3,13940.71,12800.29,373.99,47535.6,272.0
TXN0049,2024-12-06,Compras e Licitações,Capacitação,Transferência,16663.62,Theta Sistemas,Pendente,Transação 49 - Capacitação,12,2024,Q4,Funcionário 29,CC2269,Baixa,35354.52,25292.21333333333,Friday,49,246,Muito Alto,0.746,76,955762.48,12575.82,12567.06,172.0,46186.52,255.0
TXN0050,2024-05-26,Jurídico,Segurança,Despesa,4148.56,Gamma Tecnologia,Pendente,Transação 50 - Manutenção,5,2024,Q2,Funcionário 25,CC3503,Baixa,99120.71,16725.45,Sunday,21,440,Médio,0.187,87,1277333.07,14681.99,13824.88,897.98,49781.72,814.0
TXN0051,2024-03-14,Jurídico,Segurança,Receita,6281.53,Eta Manutenção,Aprovado,Transação 51 - Manutenção,3,2024,Q1,Funcionário 27,CC7381,Baixa,105402.24,13877.08,Thursday,11,513,Alto,0.289,87,1277333.07,14681.99,13824.88,897.98,49781.72,712.0
TXN0052,2025-07-20,Educação,Alimentação,Receita,12865.31,Empresa Alpha Ltda,Rejeitado,Transação 52 - Capacitação,7,2025,Q3,Funcionário 49,CC7389,Média,81889.54000000001,18154.49777777778,Sunday,29,20,Alto,0.631,115,1603181.3,13940.71,12800.29,373.99,47535.6,370.0
TXN0053,2025-02-09,Educação,Manutenção,Receita,11046.05,Delta Suprimentos,Rejeitado,Transação 53 - Alimentação,2,2025,Q1,Funcionário 32,CC1475,Média,92935.59,18264.5,Sunday,6,181,Alto,0.538,115,1603181.3,13940.71,12800.29,373.99,47535.6,463.0
TXN0054,2024-07-17,Comunicação,Serviços,Receita,10219.21,Gamma Tecnologia,Aprovado,Transação 54 - Alimentação,7,2024,Q3,Funcionário 38,CC1444,Alta,58568.45,20035.34416666667,Wednesday,29,388,Alto,0.486,123,1947218.55,15831.05,12704.44,201.77,47767.92,515.0
TXN0055,2025-05-27,Infraestrutura,Serviços,Despesa,11106.48,Epsilon Consultoria,Em Análise,Transação 55 - Combustível,5,2025,Q2,Funcionário 14,CC8449,Média,57387.24,11567.41555555556,Tuesday,22,74,Alto,0.544,96,1303588.45,13579.05,12247.72,114.92,47613.09,457.0
TXN0056,2024-07-18,Comunicação,Capacitação,Despesa,17521.55,Theta Sistemas,Aprovado,Transação 56 - Segurança,7,2024,Q3,Funcionário 4,CC6733,Alta,76090.0,20035.34416666667,Thursday,29,387,Muito Alto,0.751,123,1947218.55,15831.05,12704.44,201.77,47767.92,250.0
TXN0057,2025-06-03,Recursos Humanos,Material de Escritório,Despesa,11740.37,Delta Suprimentos,Aprovado,Transação 57 - Consultoria,6,2025,Q2,Funcionário 10,CC4908,Alta,135103.88,13560.84666666667,Tuesday,23,67,Alto,0.574,89,1279819.63,14380.0,11595.07,161.24,45740.14,427.0
TXN0058,2024-12-04,Compras e Licitações,Limpeza,Transferência,1804.4,Epsilon Consultoria,Rejeitado,Transação 58 - Serviços,12,2024,Q4,Funcionário 39,CC2876,Alta,37158.92,25292.21333333333,Wednesday,49,248,Médio,0.072,76,955762.48,12575.82,12567.06,172.0,46186.52,929.0
TXN0059,2024-06-21,Planejamento,Consultoria,Transferência,8722.4,Eta Manutenção,Em Análise,Transação 59 - Manutenção,6,2024,Q2,Funcionário 5,CC4978,Alta,98438.81999999999,12790.12076923077,Friday,25,414,Alto,0.415,102,1404744.54,13772.01,11714.36,472.66,45425.11,586.0
TXN0060,2025-07-21,Educação,Equipamentos,Transferência,43263.2,Empresa Alpha Ltda,Rejeitado,Transação 60 - Segurança,7,2025,Q3,Funcionário 28,CC7071,Alta,136198.79,18154.49777777778,Monday,30,19,Muito Alto,0.951,115,1603181.3,13940.71,12800.29,373.99,47535.6,50.0
TXN0061,2025-01-07,Comunicação,Limpeza,Despesa,5184.34,Eta Manutenção,Rejeitado,Transação 61 - Limpeza,1,2025,Q1,Funcionário 46,CC3506,Média,81274.34,10933.28928571429,Tuesday,2,214,Alto,0.237,123,1947218.55,15831.05,12704.44,201.77,47767.92,764.0
TXN0062,2024-02-04,Planejamento,Consultoria,Transferência,7874.03,Theta Sistemas,Em Análise,Transação 62 - Alimentação,2,2024,Q1,Funcionário 47,CC5397,Média,106312.85,13511.77111111111,Sunday,5,552,Alto,0.374,102,1404744.54,13772.01,11714.36,472.66,45425.11,627.0
TXN0063,2024-04-15,Infraestrutura,Manutenção,Receita,4256.03,Kappa Serviços,Em Análise,Transação 63 - Combustível,4,2024,Q2,Funcionário 2,CC9098,Média,61643.27,5255.57125,Monday,16,481,Médio,0.19,96,1303588.45,13579.05,12247.72,114.92,47613.09,811.0
TXN0064,2024-02-10,Planejamento,Combustível,Receita,14545.39,Kappa Serviços,Rejeitado,Transação 64 - Segurança,2,2024,Q1,Funcionário 1,CC9464,Alta,120858.24,13511.77111111111,Saturday,6,546,Alto,0.717,102,1404744.54,13772.01,11714.36,472.66,45425.11,284.0
TXN0065,2023-11-03,Infraestrutura,Segurança,Despesa,10829.11,Theta Sistemas,Em Análise,Transação 65 - Limpeza,11,2023,Q4,Funcionário 2,CC2524,Média,72472.38,15149.86642857143,Friday,44,645,Alto,0.526,96,1303588.45,13579.05,12247.72,114.92,47613.09,475.0
TXN0066,2024-03-21,Planejamento,Consultoria,Receita,36130.42,Theta Sistemas,Rejeitado,Transação 66 - Alimentação,3,2024,Q1,Funcionário 48,CC6419,Média,156988.66,14237.33444444444,Thursday,12,506,Muito Alto,0.895,102,1404744.54,13772.01,11714.36,472.66,45425.11,106.0
TXN0067,2025-07-27,Planejamento,Manutenção,Despesa,17191.24,Delta Suprimentos,Rejeitado,Transação 67 - Equipamentos,7,2025,Q3,Funcionário 48,CC9779,Baixa,174179.9,21804.95222222222,Sunday,30,13,Muito Alto,0.75,102,1404744.54,13772.01,11714.36,472.66,45425.11,251.0
TXN0068,2024-02-13,Infraestrutura,Capacitação,Transferência,3324.13,Kappa Serviços,Rejeitado,Transação 68 - Equipamentos,2,2024,Q1,Funcionário 13,CC5853,Alta,75796.51,7479.457777777778,Tuesday,7,543,Médio,0.149,96,1303588.45,13579.05,12247.72,114.92,47613.09,852.0
TXN0069,2024-08-11,Saúde,Serviços,Receita,4603.79,Empresa Alpha Ltda,Aprovado,Transação 69 - Segurança,8,2024,Q3,Funcionário 19,CC3068,Baixa,143696.5,9161.131428571429,Sunday,32,363,Médio,0.21,89,1288783.81,14480.72,12901.72,163.99,49438.54,791.0
TXN0070,2024-12-22,Educação,Capacitação,Receita,13103.52,Theta Sistemas,Em Análise,Transação 70 - Combustível,12,2024,Q4,Funcionário 12,CC1841,Média,149302.31,7883.68625,Sunday,51,230,Alto,0.645,115,1603181.3,13940.71,12800.29,373.99,47535.6,356.0
TXN0071,2024-12-09,Comunicação,Limpeza,Despesa,12349.52,Kappa Serviços,Aprovado,Transação 71 - Serviços,12,2024,Q4,Funcionário 10,CC5978,Alta,93623.86,16309.76,Monday,50,243,Alto,0.609,123,1947218.55,15831.05,12704.44,201.77,47767.92,392.0
TXN0072,2024-04-18,Comunicação,Consultoria,Transferência,8415.29,Kappa Serviços,Pendente,Transação 72 - Segurança,4,2024,Q2,Funcionário 25,CC8381,Média,102039.15,14636.86083333333,Thursday,16,478,Alto,0.402,123,1947218.55,15831.05,12704.44,201.77,47767.92,599.0
TXN0073,2024-06-07,Planejamento,Consultoria,Transferência,14851.47,Empresa Alpha Ltda,Aprovado,Transação 73 - Manutenção,6,2024,Q2,Funcionário 41,CC4457,Média,189031.37,12790.12076923077,Friday,23,428,Alto,0.732,102,1404744.54,13772.01,11714.36,472.66,45425.11,269.0
TXN0074,2025-06-14,Tecnologia da Informação,Segurança,Despesa,2440.15,Gamma Tecnologia,Aprovado,Transação 74 - Alimentação,6,2025,Q2,Funcionário 29,CC8699,Média,107500.7,22045.91428571428,Saturday,24,56,Médio,0.111,119,1688055.08,14185.34,13089.13,104.28,47957.4,890.0
TXN0075,2023-09-10,Planejamento,Limpeza,Despesa,4392.76,Delta Suprimentos,Rejeitado,Transação 75 - Consultoria,9,2023,Q3,Funcionário 43,CC4241,Média,193424.13,11705.88181818182,Sunday,36,699,Médio,0.197,102,1404744.54,13772.01,11714.36,472.66,45425.11,804.0
TXN0076,2023-12-03,Tecnologia da Informação,Capacitação,Despesa,3449.66,Beta Serviços SA,Aprovado,Transação 76 - Serviços,12,2023,Q4,Funcionário 20,CC5728,Média,110950.36,19023.11944444444,Sunday,48,615,Médio,0.155,119,1688055.08,14185.34,13089.13,104.28,47957.4,846.0
TXN0077,2023-12-13,Comunicação,Capacitação,Transferência,35990.51,Iota Materiais,Em Análise,Transação 77 - Limpeza,12,2023,Q4,Funcionário 6,CC1653,Média,138029.66,16309.76,Wednesday,50,605,Muito Alto,0.893,123,1947218.55,15831.05,12704.44,201.77,47767.92,108.0
TXN0078,2024-07-03,Financeiro,Manutenção,Transferência,3830.48,Kappa Serviços,Aprovado,Transação 78 - Capacitação,7,2024,Q3,Funcionário 37,CC1659,Alta,23413.53,19282.749,Wednesday,27,402,Médio,0.169,104,1679350.5,16147.6,14099.56,178.83,49816.73,832.0
TXN0079,2024-12-01,Planejamento,Serviços,Transferência,9807.49,Eta Manutenção,Em Análise,Transação 79 - Equipamentos,12,2024,Q4,Funcionário 31,CC6700,Média,203231.62,15697.84833333333,Sunday,48,251,Alto,0.459,102,1404744.54,13772.01,11714.36,472.66,45425.11,542.0
TXN0080,2024-07-14,Tecnologia da Informação,Combustível,Receita,35156.01,Theta Sistemas,Rejeitado,Transação 80 - Alimentação,7,2024,Q3,Funcionário 49,CC1601,Média,146106.37,9384.965,Sunday,28,391,Muito Alto,0.88,119,1688055.08,14185.34,13089.13,104.28,47957.4,121.0
TXN0081,2023-11-06,Financeiro,Alimentação,Transferência,16357.95,Empresa Alpha Ltda,Em Análise,Transação 81 - Alimentação,11,2023,Q4,Funcionário 4,CC4073,Baixa,39771.48,14880.26454545455,Monday,45,642,Muito Alto,0.744,104,1679350.5,16147.6,14099.56,178.83,49816.73,257.0
TXN0082,2024-08-12,Infraestrutura,Material de Escritório,Despesa,11371.0,Epsilon Consultoria,Pendente,Transação 82 - Capacitação,8,2024,Q3,Funcionário 29,CC8941,Alta,87167.51000000001,9209.7075,Monday,33,362,Alto,0.556,96,1303588.45,13579.05,12247.72,114.92,47613.09,445.0
TXN0083,2023-09-06,Compras e Licitações,Serviços,Receita,9172.19,Iota Materiais,Aprovado,Transação 83 - Segurança,9,2023,Q3,Funcionário 27,CC2527,Alta,46331.11,8387.75857142857,Wednesday,36,703,Alto,0.431,76,955762.48,12575.82,12567.06,172.0,46186.52,570.0
TXN0084,2023-12-02,Tecnologia da Informação,Limpeza,Transferência,47617.73,Epsilon Consultoria,Rejeitado,Transação 84 - Alimentação,12,2023,Q4,Funcionário 31,CC8736,Alta,193724.1,19023.11944444444,Saturday,48,616,Muito Alto,0.989,119,1688055.08,14185.34,13089.13,104.28,47957.4,12.0
TXN0085,2024-11-17,Compras e Licitações,Consultoria,Transferência,2255.17,Gamma Tecnologia,Aprovado,Transação 85 - Capacitação,11,2024,Q4,Funcionário 50,CC7798,Média,48586.28,9071.171428571428,Sunday,46,265,Médio,0.1,76,955762.48,12575.82,12567.06,172.0,46186.52,901.0
TXN0086,2025-01-08,Planejamento,Capacitação,Transferência,41924.73,Kappa Serviços,Em Análise,Transação 86 - Serviços,1,2025,Q1,Funcionário 29,CC9824,Média,245156.35,14089.28,Wednesday,2,213,Muito Alto,0.938,102,1404744.54,13772.01,11714.36,472.66,45425.11,63.0
TXN0087,2024-07-26,Saúde,Alimentação,Receita,29836.28,Zeta Equipamentos,Pendente,Transação 87 - Manutenção,7,2024,Q3,Funcionário 37,CC7274,Alta,173532.78,19037.177,Friday,30,379,Muito Alto,0.833,89,1288783.81,14480.72,12901.72,163.99,49438.54,168.0
TXN0088,2024-10-01,Infraestrutura,Alimentação,Receita,4840.83,Gamma Tecnologia,Em Análise,Transação 88 - Material de Escritório,10,2024,Q4,Funcionário 9,CC9229,Baixa,92008.34,15411.634,Tuesday,40,312,Médio,0.218,96,1303588.45,13579.05,12247.72,114.92,47613.09,783.0
TXN0089,2024-07-12,Infraestrutura,Equipamentos,Transferência,13125.44,Theta Sistemas,Aprovado,Transação 89 - Serviços,7,2024,Q3,Funcionário 27,CC3529,Alta,105133.78,17529.97636363636,Friday,28,393,Alto,0.646,96,1303588.45,13579.05,12247.72,114.92,47613.09,355.0
